var_base,domain,description
B01001_001,Demographics,Total population
B01001_002,,
B01001_003,,
B01001_004,,
B01001_005,,
B01001_006,,
B01001_007,,
B01001_008,,
B01001_009,,
B01001_010,,
B01001_011,,
B01001_012,,
B01001_013,,
B01001_014,,
B01001_015,,
B01001_016,,
B01001_017,,
B01001_018,,
B01001_019,,
B01001_020,,
B01001_021,,
B01001_022,,
B01001_023,,
B01001_024,,
B01001_025,,
B01001_026,Demographics,Total female population
B01001_027,,
B01001_028,,
B01001_029,,
B01001_030,Demographics,Female population age 15-17
B01001_031,,
B01001_032,,
B01001_033,,
B01001_034,Demographics,Female population age 22-24
B01001_035,,
B01001_036,,
B01001_037,,
B01001_038,,
B01001_039,,
B01001_040,,
B01001_041,,
B01001_042,,
B01001_043,,
B01001_044,,
B01001_045,,
B01001_046,,
B01001_047,,
B01001_048,,
B01001_049,,
B01001B_002,,
B01001B_026,,
B01001C_002,,
B01001C_026,,
B01001D_002,,
B01001D_026,,
B01001E_002,,
B01001E_026,,
B01001F_002,,
B01001F_026,,
B01001G_002,,
B01001G_026,,
B01001H_002,,
B01001H_026,,
B01001I_002,,
B01001I_026,,
B05003_001,,
B05003_002,,
B05003_003,,
B12001_011,,
B12001_012,,
B12001_013,,
B12001_014,,
B12001_015,,
B12001_016,,
B12001_017,,
B12001_018,,
B12001_019,,
B15002_001,,
B15002_003,,
B15002_004,,
B15002_005,,
B15002_006,,
B15002_007,,
B15002_008,,
B15002_009,,
B15002_010,,
B15002_011,,
B15002_012,,
B15002_013,,
B15002_014,,
B15002_015,,
B15002_016,,
B15002_017,,
B15002_018,,
B15002_019,,
B15002_020,,
B15002_021,,
B15002_022,,
B15002_023,,
B15002_024,,
B15002_025,,
B15002_026,,
B15002_027,,
B15002_028,Education,Women with bachelor's degree
B15002_029,Education,Women with master's degree
B15002_030,Education,Women with professional degree
B15002_031,Education,Women with doctorate
B15002_032,,
B15002_033,,
B15002_034,,
B15002_035,,
B20004_002,,
B20004_003,,
B20004_004,,
B20004_005,Education,Median earnings women with bachelor's degree
B20004_006,,
B20004_007,,
B20004_008,,
B20004_009,,
B20004_010,,
B20004_011,,
B20004_012,,
B20004_013,,
B20004_014,,
B20004_015,,
B20004_016,,
B20004_017,,
B20004_018,,
B20005A_002,,
B20005B_002,,
B20005C_002,,
B20005D_002,,
B20005H_002,,
B17001B_001,,
B17001B_002,Economic Security,Black population below poverty
B17001C_001,,
B17001C_002,,
B17001D_001,,
B17001D_002,,
B17001E_001,,
B17001E_002,,
B17001F_001,,
B17001F_002,,
B17001G_001,,
B17001G_002,,
B17001H_001,,
B17001H_002,,
B17001I_001,,
B17001I_002,,
B17001B_003,,
B17001B_032,,
B17001B_017,,
B17001B_046,,
B17001C_003,,
B17001C_032,,
B17001C_017,,
B17001C_046,,
B17001D_003,,
B17001D_032,,
B17001D_017,,
B17001D_046,,
B17001E_003,,
B17001E_032,,
B17001E_017,,
B17001E_046,,
B17001F_003,,
B17001F_032,,
B17001F_017,,
B17001F_046,,
B17001G_003,,
B17001G_032,,
B17001G_017,,
B17001G_046,,
B17001H_003,,
B17001H_032,,
B17001H_017,,
B17001H_046,,
B17001I_003,,
B17001I_032,,
B17001I_017,,
B17001I_046,,
B17001_001,,
B17001_002,,
B17001_003,,
B17001_032,,
B17001_017,,
B17001_046,,
B20017_003,,
B20017_006,,
B20017A_003,,
B20017A_006,,
B20017B_003,,
B20017B_006,,
B20017C_003,,
B20017C_006,,
B20017D_003,,
B20017D_006,,
B20017E_003,,
B20017E_006,,
B20017F_003,,
B20017F_006,,
B20017G_003,,
B20017G_006,,
B20017H_003,,
B20017H_006,,
B20017I_003,,
B20017I_006,,
B22010_001,,
B22010_002,,
B22002_001,,
B22002_002,Economic Security,Households receiving SNAP
B22002_006,,
B22002_007,,
B22002_012,,
B22002_013,,
B22002_019,,
B22002_020,,
B22002_025,,
B22002_026,,
B23001_002,,
B23001_004,,
B23001_005,,
B23001_011,,
B23001_012,,
B23001_018,,
B23001_019,,
B23001_025,,
B23001_026,,
B23001_032,,
B23001_033,,
B23001_039,,
B23001_040,,
B23001_046,,
B23001_047,,
B23001_053,,
B23001_054,,
B23001_060,,
B23001_061,,
B23001_067,,
B23001_068,,
B23001_074,,
B23001_075,,
B23001_081,,
B23001_082,,
B23001_087,,
B23001_088,,
B23001_089,,
B23001_095,,
B23001_096,,
B23001_102,,
B23001_103,,
B23001_109,,
B23001_110,,
B23001_116,,
B23001_117,,
B23001_123,,
B23001_124,,
B23001_130,,
B23001_131,,
B23001_137,,
B23001_138,,
B23001_144,,
B23001_145,,
B23001_151,,
B23001_152,,
B23001_158,,
B23001_159,,
B23001_165,,
B23001_166,,
B23001_172,,
B23001_173,,
B24022_001,,
B24022_002,,
B12006_001,,
B12006_002,Economic Security,Women in labor force
B12006_003,,
B12006_004,,
B12006_014,,
B12006_015,,
B12006_025,,
B12006_026,,
B12006_036,,
B12006_037,,
B12006_047,,
B12006_048,,
B12006_008,,
B12006_009,,
B12006_019,,
B12006_020,,
B12006_030,,
B12006_031,,
B12006_041,,
B12006_042,,
B12006_052,,
B12006_053,,
B27001_001,,
B27001_004,Health & Safety,Selected uninsured population line from B27001
B13002_001,,
B13002_002,Health & Safety,Women with births in past year
B25003_001,,
B25003_002,Housing,Owner occupied households
B25003_003,Housing,Renter occupied households
B25070_001,,
B25070_002,,
B25070_003,,
B25070_004,,
B25070_005,,
B25070_006,,
B25070_007,,
B25070_008,,
B25070_009,,
B25070_010,,
B25064_001,Housing,Median gross rent
