county,var_base,estimate,geography_level
ADAMS,female_victims,79,county
ADAMS,male_victims,65,county
ASHLAND,female_victims,79,county
ASHLAND,male_victims,63,county
BARRON,female_victims,90,county
BARRON,male_victims,58,county
BAYFIELD,female_victims,21,county
BAYFIELD,male_victims,14,county
BROWN,female_victims,1037,county
BROWN,male_victims,812,county
BROWN,unknown_victims,6,county
"BROWN, OUTAGAMIE",female_victims,1,county
"BROWN, OUTAGAMIE",male_victims,1,county
"BROWN, SHAWANO",female_victims,10,county
"BROWN, SHAWANO",male_victims,4,county
"BROWN, SHAWANO",unknown_victims,1,county
BUFFALO,female_victims,15,county
BUFFALO,male_victims,5,county
BURNETT,female_victims,57,county
BURNETT,male_victims,73,county
CALUMET,female_victims,58,county
CALUMET,male_victims,44,county
"CALUMET, MANITOWOC",female_victims,6,county
"CALUMET, MANITOWOC",male_victims,5,county
"CALUMET, OUTAGAMIE, WINNEBAGO",female_victims,409,county
"CALUMET, OUTAGAMIE, WINNEBAGO",male_victims,371,county
"CALUMET, OUTAGAMIE, WINNEBAGO",unknown_victims,1,county
"CALUMET, WINNEBAGO",female_victims,88,county
"CALUMET, WINNEBAGO",male_victims,43,county
CHIPPEWA,female_victims,188,county
CHIPPEWA,male_victims,147,county
CHIPPEWA,unknown_victims,4,county
"CHIPPEWA, CLARK",female_victims,17,county
"CHIPPEWA, CLARK",male_victims,25,county
"CHIPPEWA, EAU CLAIRE",female_victims,437,county
"CHIPPEWA, EAU CLAIRE",male_victims,415,county
CLARK,female_victims,69,county
CLARK,male_victims,49,county
"CLARK, MARATHON",female_victims,26,county
"CLARK, MARATHON",male_victims,10,county
COLUMBIA,female_victims,110,county
COLUMBIA,male_victims,102,county
CRAWFORD,female_victims,70,county
CRAWFORD,male_victims,57,county
DANE,female_victims,2077,county
DANE,male_victims,1490,county
DANE,unknown_victims,21,county
"DANE, GREEN",female_victims,5,county
"DANE, GREEN",male_victims,3,county
"DANE, ROCK",female_victims,8,county
"DANE, ROCK",male_victims,8,county
DODGE,female_victims,170,county
DODGE,male_victims,151,county
DODGE,unknown_victims,1,county
"DODGE, FOND DU LAC",female_victims,40,county
"DODGE, FOND DU LAC",male_victims,30,county
"DODGE, JEFFERSON",female_victims,118,county
"DODGE, JEFFERSON",male_victims,69,county
"DODGE, WASHINGTON",female_victims,37,county
"DODGE, WASHINGTON",male_victims,25,county
DOOR,female_victims,70,county
DOOR,male_victims,52,county
DOUGLAS,female_victims,165,county
DOUGLAS,male_victims,125,county
DUNN,female_victims,83,county
DUNN,male_victims,59,county
EAU CLAIRE,female_victims,100,county
EAU CLAIRE,male_victims,97,county
FLORENCE,female_victims,7,county
FLORENCE,male_victims,15,county
FOND DU LAC,female_victims,363,county
FOND DU LAC,male_victims,207,county
FOREST,female_victims,35,county
FOREST,male_victims,31,county
FOREST,unknown_victims,1,county
GRANT,female_victims,173,county
GRANT,male_victims,118,county
GRANT,unknown_victims,10,county
"GRANT, IOWA",female_victims,5,county
"GRANT, IOWA",male_victims,4,county
"GRANT, LAFAYETTE",female_victims,2,county
"GRANT, LAFAYETTE",male_victims,4,county
GREEN,female_victims,117,county
GREEN,male_victims,88,county
GREEN LAKE,female_victims,9,county
GREEN LAKE,male_victims,18,county
"GREEN LAKE, WAUSHARA",female_victims,12,county
"GREEN LAKE, WAUSHARA",male_victims,7,county
"GREEN, ROCK",female_victims,8,county
"GREEN, ROCK",male_victims,5,county
IOWA,female_victims,44,county
IOWA,male_victims,20,county
IRON,female_victims,13,county
IRON,male_victims,22,county
JACKSON,female_victims,67,county
JACKSON,male_victims,65,county
JEFFERSON,female_victims,152,county
JEFFERSON,male_victims,112,county
"JEFFERSON, WALWORTH",female_victims,32,county
"JEFFERSON, WALWORTH",male_victims,33,county
JUNEAU,female_victims,89,county
JUNEAU,male_victims,73,county
JUNEAU,unknown_victims,1,county
KENOSHA,female_victims,744,county
KENOSHA,male_victims,461,county
"KENOSHA, WALWORTH",female_victims,2,county
"KENOSHA, WALWORTH",male_victims,4,county
KEWAUNEE,female_victims,50,county
KEWAUNEE,male_victims,40,county
LA CROSSE,female_victims,484,county
LA CROSSE,male_victims,318,county
LA CROSSE,unknown_victims,1,county
LAFAYETTE,female_victims,46,county
LAFAYETTE,male_victims,34,county
LANGLADE,female_victims,37,county
LANGLADE,male_victims,18,county
LINCOLN,female_victims,101,county
LINCOLN,male_victims,156,county
LINCOLN,unknown_victims,4,county
MANITOWOC,female_victims,214,county
MANITOWOC,male_victims,162,county
MANITOWOC,unknown_victims,1,county
MARATHON,female_victims,310,county
MARATHON,male_victims,213,county
"MARATHON, WOOD",female_victims,115,county
"MARATHON, WOOD",male_victims,58,county
MARINETTE,female_victims,111,county
MARINETTE,male_victims,78,county
MARINETTE,unknown_victims,2,county
MARQUETTE,female_victims,21,county
MARQUETTE,male_victims,12,county
MENOMINEE,female_victims,5,county
MENOMINEE,male_victims,2,county
MENOMINEE,unknown_victims,1,county
MILWAUKEE,female_victims,11146,county
MILWAUKEE,male_victims,5630,county
MILWAUKEE,unknown_victims,274,county
"MILWAUKEE, OZAUKEE",female_victims,1,county
"MILWAUKEE, OZAUKEE",male_victims,1,county
"MILWAUKEE, OZAUKEE",unknown_victims,1,county
MONROE,female_victims,160,county
MONROE,male_victims,129,county
MONROE,unknown_victims,3,county
NOT SPECIFIED,female_victims,148,county
NOT SPECIFIED,male_victims,86,county
NOT SPECIFIED,unknown_victims,2,county
OCONTO,female_victims,103,county
OCONTO,male_victims,81,county
ONEIDA,female_victims,80,county
ONEIDA,male_victims,83,county
OUTAGAMIE,female_victims,237,county
OUTAGAMIE,male_victims,175,county
"OUTAGAMIE, WAUPACA",female_victims,1,county
"OUTAGAMIE, WAUPACA",male_victims,3,county
OZAUKEE,female_victims,108,county
OZAUKEE,male_victims,64,county
PEPIN,female_victims,2,county
PEPIN,male_victims,6,county
PIERCE,female_victims,28,county
PIERCE,male_victims,37,county
"PIERCE, ST CROIX",female_victims,49,county
"PIERCE, ST CROIX",male_victims,35,county
POLK,female_victims,109,county
POLK,male_victims,65,county
POLK,unknown_victims,1,county
PORTAGE,female_victims,225,county
PORTAGE,male_victims,187,county
PORTAGE,unknown_victims,3,county
PRICE,female_victims,38,county
PRICE,male_victims,35,county
RACINE,female_victims,705,county
RACINE,male_victims,415,county
RACINE,unknown_victims,4,county
RICHLAND,female_victims,19,county
RICHLAND,male_victims,19,county
ROCK,female_victims,718,county
ROCK,male_victims,517,county
RUSK,female_victims,68,county
RUSK,male_victims,54,county
RUSK,unknown_victims,1,county
SAUK,female_victims,179,county
SAUK,male_victims,166,county
SAWYER,female_victims,46,county
SAWYER,male_victims,45,county
SHAWANO,female_victims,125,county
SHAWANO,male_victims,74,county
SHEBOYGAN,female_victims,571,county
SHEBOYGAN,male_victims,539,county
ST CROIX,female_victims,129,county
ST CROIX,male_victims,115,county
ST CROIX,unknown_victims,1,county
TAYLOR,female_victims,64,county
TAYLOR,male_victims,69,county
TREMPEALEAU,female_victims,25,county
TREMPEALEAU,male_victims,23,county
VERNON,female_victims,62,county
VERNON,male_victims,49,county
VILAS,female_victims,30,county
VILAS,male_victims,21,county
WALWORTH,female_victims,159,county
WALWORTH,male_victims,142,county
"WALWORTH, WAUKESHA",female_victims,8,county
"WALWORTH, WAUKESHA",male_victims,5,county
WASHBURN,female_victims,31,county
WASHBURN,male_victims,38,county
WASHINGTON,female_victims,174,county
WASHINGTON,male_victims,157,county
WASHINGTON,unknown_victims,3,county
WAUKESHA,female_victims,659,county
WAUKESHA,male_victims,513,county
WAUPACA,female_victims,78,county
WAUPACA,male_victims,67,county
WAUSHARA,female_victims,24,county
WAUSHARA,male_victims,26,county
WINNEBAGO,female_victims,652,county
WINNEBAGO,male_victims,437,county
WINNEBAGO,unknown_victims,1,county
WOOD,female_victims,185,county
WOOD,male_victims,138,county
ADAMS,female_victims_dv,54,county
ASHLAND,female_victims_dv,35,county
BARRON,female_victims_dv,51,county
BAYFIELD,female_victims_dv,12,county
BROWN,female_victims_dv,625,county
"BROWN, OUTAGAMIE",female_victims_dv,1,county
"BROWN, SHAWANO",female_victims_dv,5,county
BUFFALO,female_victims_dv,15,county
BURNETT,female_victims_dv,36,county
CALUMET,female_victims_dv,51,county
"CALUMET, MANITOWOC",female_victims_dv,2,county
"CALUMET, OUTAGAMIE, WINNEBAGO",female_victims_dv,265,county
"CALUMET, WINNEBAGO",female_victims_dv,60,county
CHIPPEWA,female_victims_dv,126,county
"CHIPPEWA, CLARK",female_victims_dv,15,county
"CHIPPEWA, EAU CLAIRE",female_victims_dv,223,county
CLARK,female_victims_dv,51,county
"CLARK, MARATHON",female_victims_dv,16,county
COLUMBIA,female_victims_dv,66,county
CRAWFORD,female_victims_dv,49,county
DANE,female_victims_dv,1213,county
"DANE, GREEN",female_victims_dv,4,county
"DANE, ROCK",female_victims_dv,7,county
DODGE,female_victims_dv,131,county
"DODGE, FOND DU LAC",female_victims_dv,30,county
"DODGE, JEFFERSON",female_victims_dv,90,county
"DODGE, WASHINGTON",female_victims_dv,18,county
DOOR,female_victims_dv,47,county
DOUGLAS,female_victims_dv,81,county
DUNN,female_victims_dv,54,county
EAU CLAIRE,female_victims_dv,59,county
FLORENCE,female_victims_dv,4,county
FOND DU LAC,female_victims_dv,232,county
FOREST,female_victims_dv,25,county
GRANT,female_victims_dv,100,county
"GRANT, IOWA",female_victims_dv,5,county
"GRANT, LAFAYETTE",female_victims_dv,2,county
GREEN,female_victims_dv,61,county
GREEN LAKE,female_victims_dv,8,county
"GREEN LAKE, WAUSHARA",female_victims_dv,8,county
"GREEN, ROCK",female_victims_dv,6,county
IOWA,female_victims_dv,31,county
IRON,female_victims_dv,11,county
JACKSON,female_victims_dv,44,county
JEFFERSON,female_victims_dv,96,county
"JEFFERSON, WALWORTH",female_victims_dv,20,county
JUNEAU,female_victims_dv,58,county
KENOSHA,female_victims_dv,521,county
"KENOSHA, WALWORTH",female_victims_dv,1,county
KEWAUNEE,female_victims_dv,40,county
LA CROSSE,female_victims_dv,316,county
LAFAYETTE,female_victims_dv,37,county
LANGLADE,female_victims_dv,18,county
LINCOLN,female_victims_dv,51,county
MANITOWOC,female_victims_dv,168,county
MARATHON,female_victims_dv,216,county
"MARATHON, WOOD",female_victims_dv,72,county
MARINETTE,female_victims_dv,90,county
MARQUETTE,female_victims_dv,18,county
MENOMINEE,female_victims_dv,3,county
MILWAUKEE,female_victims_dv,8083,county
MONROE,female_victims_dv,80,county
NOT SPECIFIED,female_victims_dv,95,county
OCONTO,female_victims_dv,75,county
ONEIDA,female_victims_dv,55,county
OUTAGAMIE,female_victims_dv,173,county
"OUTAGAMIE, WAUPACA",female_victims_dv,1,county
OZAUKEE,female_victims_dv,77,county
PEPIN,female_victims_dv,2,county
PIERCE,female_victims_dv,20,county
"PIERCE, ST CROIX",female_victims_dv,29,county
POLK,female_victims_dv,79,county
PORTAGE,female_victims_dv,138,county
PRICE,female_victims_dv,23,county
RACINE,female_victims_dv,474,county
RICHLAND,female_victims_dv,14,county
ROCK,female_victims_dv,446,county
RUSK,female_victims_dv,47,county
SAUK,female_victims_dv,111,county
SAWYER,female_victims_dv,23,county
SHAWANO,female_victims_dv,92,county
SHEBOYGAN,female_victims_dv,315,county
ST CROIX,female_victims_dv,96,county
TAYLOR,female_victims_dv,51,county
TREMPEALEAU,female_victims_dv,21,county
VERNON,female_victims_dv,42,county
VILAS,female_victims_dv,21,county
WALWORTH,female_victims_dv,118,county
"WALWORTH, WAUKESHA",female_victims_dv,4,county
WASHBURN,female_victims_dv,23,county
WASHINGTON,female_victims_dv,117,county
WAUKESHA,female_victims_dv,449,county
WAUPACA,female_victims_dv,76,county
WAUSHARA,female_victims_dv,17,county
WINNEBAGO,female_victims_dv,429,county
WOOD,female_victims_dv,118,county
