var_base,topic,sex,race,age_group,marital_status,education_level,is_denominator,description
B01001_003,Demographics / Age,Male,All,Under 18,All,All,False,Total: Male: Under 5 years
B01001_004,Demographics / Age,Male,All,Under 18,All,All,False,Total: Male: 5 to 9 years
B01001_005,Demographics / Age,Male,All,Under 18,All,All,False,Total: Male: 10 to 14 years
B01001_006,Demographics / Age,Male,All,Under 18,All,All,False,Total: Male: 15 to 17 years
B01001_027,Demographics / Age,Female,All,Under 18,All,All,False,Total: Female: Under 5 years
B01001_028,Demographics / Age,Female,All,Under 18,All,All,False,Total: Female: 5 to 9 years
B01001_029,Demographics / Age,Female,All,Under 18,All,All,False,Total: Female: 10 to 14 years
B01001_030,Demographics / Age,Female,All,Under 18,All,All,False,Total: Female: 15 to 17 years
B05003_003,Demographics / Age,Male,All,Under 18,All,All,False,Total: Male: Under 18 years
B22002_006,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household received Food Stamps/SNAP in the past 12 months: With children under 18 years: Other family: Male householder, no spouse present"
B22002_007,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household received Food Stamps/SNAP in the past 12 months: With children under 18 years: Other family: Female householder, no spouse present"
B22002_012,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household received Food Stamps/SNAP in the past 12 months: No children under 18 years: Other family: Male householder, no spouse present"
B22002_013,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household received Food Stamps/SNAP in the past 12 months: No children under 18 years: Other family: Female householder, no spouse present"
B22002_019,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household did not receive Food Stamps/SNAP in the past 12 months: With children under 18 years: Other family: Male householder, no spouse present"
B22002_020,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household did not receive Food Stamps/SNAP in the past 12 months: With children under 18 years: Other family: Female householder, no spouse present"
B22002_025,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household did not receive Food Stamps/SNAP in the past 12 months: No children under 18 years: Other family: Male householder, no spouse present"
B22002_026,Food Assistance (SNAP),Total,All,Under 18,All,All,False,"Total: Household did not receive Food Stamps/SNAP in the past 12 months: No children under 18 years: Other family: Female householder, no spouse present"
B23001_004,Employment / Labor Force,Male,All,Under 18,All,All,False,Total: Male: 16 to 19 years: In labor force
B23001_005,Employment / Labor Force,Male,All,Under 18,All,All,False,Total: Male: 16 to 19 years: In labor force: In Armed Forces
B23001_089,Employment / Labor Force,Female,All,Under 18,All,All,False,Total: Female: 16 to 19 years
B23001_095,Employment / Labor Force,Female,All,Under 18,All,All,False,Total: Female: 16 to 19 years: Not in labor force
B27001_004,Demographics / Age,Male,All,Under 18,All,All,False,Total: Male: Under 6 years: With health insurance coverage
B01001_007,Demographics / Age,Male,All,18-24,All,All,False,Total: Male: 18 and 19 years
B01001_008,Demographics / Age,Male,All,18-24,All,All,False,Total: Male: 20 years
B01001_009,Demographics / Age,Male,All,18-24,All,All,False,Total: Male: 21 years
B01001_010,Demographics / Age,Male,All,18-24,All,All,False,Total: Male: 22 to 24 years
B01001_031,Demographics / Age,Female,All,18-24,All,All,False,Total: Female: 18 and 19 years
B01001_032,Demographics / Age,Female,All,18-24,All,All,False,Total: Female: 20 years
B01001_033,Demographics / Age,Female,All,18-24,All,All,False,Total: Female: 21 years
B01001_034,Demographics / Age,Female,All,18-24,All,All,False,Total: Female: 22 to 24 years
B23001_011,Employment / Labor Force,Male,All,18-24,All,All,False,Total: Male: 20 and 21 years: In labor force
B23001_012,Employment / Labor Force,Male,All,18-24,All,All,False,Total: Male: 20 and 21 years: In labor force: In Armed Forces
B23001_018,Employment / Labor Force,Male,All,18-24,All,All,False,Total: Male: 22 to 24 years: In labor force
B23001_019,Employment / Labor Force,Male,All,18-24,All,All,False,Total: Male: 22 to 24 years: In labor force: In Armed Forces
B23001_096,Employment / Labor Force,Female,All,18-24,All,All,False,Total: Female: 20 and 21 years
B23001_102,Employment / Labor Force,Female,All,18-24,All,All,False,Total: Female: 20 and 21 years: Not in labor force
B23001_103,Employment / Labor Force,Female,All,18-24,All,All,False,Total: Female: 22 to 24 years
B23001_109,Employment / Labor Force,Female,All,18-24,All,All,False,Total: Female: 22 to 24 years: Not in labor force
B01001_011,Demographics / Age,Male,All,25-34,All,All,False,Total: Male: 25 to 29 years
B01001_012,Demographics / Age,Male,All,25-34,All,All,False,Total: Male: 30 to 34 years
B01001_035,Demographics / Age,Female,All,25-34,All,All,False,Total: Female: 25 to 29 years
B01001_036,Demographics / Age,Female,All,25-34,All,All,False,Total: Female: 30 to 34 years
B23001_025,Employment / Labor Force,Male,All,25-34,All,All,False,Total: Male: 25 to 29 years: In labor force
B23001_026,Employment / Labor Force,Male,All,25-34,All,All,False,Total: Male: 25 to 29 years: In labor force: In Armed Forces
B23001_032,Employment / Labor Force,Male,All,25-34,All,All,False,Total: Male: 30 to 34 years: In labor force
