geoid,county,county_name,state
55001,001,"Adams County, Wisconsin",55
55003,003,"Ashland County, Wisconsin",55
55005,005,"Barron County, Wisconsin",55
55007,007,"Bayfield County, Wisconsin",55
55009,009,"Brown County, Wisconsin",55
55011,011,"Buffalo County, Wisconsin",55
55013,013,"Burnett County, Wisconsin",55
55015,015,"Calumet County, Wisconsin",55
55017,017,"Chippewa County, Wisconsin",55
55019,019,"Clark County, Wisconsin",55
55021,021,"Columbia County, Wisconsin",55
55023,023,"Crawford County, Wisconsin",55
55025,025,"Dane County, Wisconsin",55
55027,027,"Dodge County, Wisconsin",55
55029,029,"Door County, Wisconsin",55
55031,031,"Douglas County, Wisconsin",55
55033,033,"Dunn County, Wisconsin",55
55035,035,"Eau Claire County, Wisconsin",55
55037,037,"Florence County, Wisconsin",55
55039,039,"Fond du Lac County, Wisconsin",55
55041,041,"Forest County, Wisconsin",55
55043,043,"Grant County, Wisconsin",55
55045,045,"Green County, Wisconsin",55
55047,047,"Green Lake County, Wisconsin",55
55049,049,"Iowa County, Wisconsin",55
55051,051,"Iron County, Wisconsin",55
55053,053,"Jackson County, Wisconsin",55
55055,055,"Jefferson County, Wisconsin",55
55057,057,"Juneau County, Wisconsin",55
55059,059,"Kenosha County, Wisconsin",55
55061,061,"Kewaunee County, Wisconsin",55
55063,063,"La Crosse County, Wisconsin",55
55065,065,"Lafayette County, Wisconsin",55
55067,067,"Langlade County, Wisconsin",55
55069,069,"Lincoln County, Wisconsin",55
55071,071,"Manitowoc County, Wisconsin",55
55073,073,"Marathon County, Wisconsin",55
55075,075,"Marinette County, Wisconsin",55
55077,077,"Marquette County, Wisconsin",55
55078,078,"Menominee County, Wisconsin",55
55079,079,"Milwaukee County, Wisconsin",55
55081,081,"Monroe County, Wisconsin",55
55083,083,"Oconto County, Wisconsin",55
55085,085,"Oneida County, Wisconsin",55
55087,087,"Outagamie County, Wisconsin",55
55089,089,"Ozaukee County, Wisconsin",55
55091,091,"Pepin County, Wisconsin",55
55093,093,"Pierce County, Wisconsin",55
55095,095,"Polk County, Wisconsin",55
55097,097,"Portage County, Wisconsin",55
55099,099,"Price County, Wisconsin",55
55101,101,"Racine County, Wisconsin",55
55103,103,"Richland County, Wisconsin",55
55105,105,"Rock County, Wisconsin",55
55107,107,"Rusk County, Wisconsin",55
55109,109,"St. Croix County, Wisconsin",55
55111,111,"Sauk County, Wisconsin",55
55113,113,"Sawyer County, Wisconsin",55
55115,115,"Shawano County, Wisconsin",55
55117,117,"Sheboygan County, Wisconsin",55
55119,119,"Taylor County, Wisconsin",55
55121,121,"Trempealeau County, Wisconsin",55
55123,123,"Vernon County, Wisconsin",55
55125,125,"Vilas County, Wisconsin",55
55127,127,"Walworth County, Wisconsin",55
55129,129,"Washburn County, Wisconsin",55
55131,131,"Washington County, Wisconsin",55
55133,133,"Waukesha County, Wisconsin",55
55135,135,"Waupaca County, Wisconsin",55
55137,137,"Waushara County, Wisconsin",55
55139,139,"Winnebago County, Wisconsin",55
55141,141,"Wood County, Wisconsin",55
