var_base,table,worker_type,sex,row_number,occupation_label,occupation_level,is_median_earnings_row
S2411_C01_001,S2411,All civilian workers,Total,001,Civilian employed population 16 years and over with earnings,Total,True
S2411_C01_002,S2411,All civilian workers,Total,002,"Management, business, science, and arts occupations",Subtotal,True
S2411_C01_003,S2411,All civilian workers,Total,003,"Management, business, and financial occupations",Subtotal,True
S2411_C01_004,S2411,All civilian workers,Total,004,Management occupations,Detail,True
S2411_C01_005,S2411,All civilian workers,Total,005,Business and financial operations occupations,Detail,True
S2411_C01_006,S2411,All civilian workers,Total,006,"Computer, engineering, and science occupations",Subtotal,True
S2411_C01_007,S2411,All civilian workers,Total,007,Computer and mathematical occupations,Detail,True
S2411_C01_008,S2411,All civilian workers,Total,008,Architecture and engineering occupations,Detail,True
S2411_C01_009,S2411,All civilian workers,Total,009,"Life, physical, and social science occupations",Detail,True
S2411_C01_010,S2411,All civilian workers,Total,010,"Education, legal, community service, arts, and media occupations",Subtotal,True
S2411_C01_011,S2411,All civilian workers,Total,011,Community and social service occupations,Detail,True
S2411_C01_012,S2411,All civilian workers,Total,012,Legal occupations,Detail,True
S2411_C01_013,S2411,All civilian workers,Total,013,"Educational instruction, and library occupations",Detail,True
S2411_C01_014,S2411,All civilian workers,Total,014,"Arts, design, entertainment, sports, and media occupations",Detail,True
S2411_C01_015,S2411,All civilian workers,Total,015,Healthcare practitioners and technical occupations,Subtotal,True
S2411_C01_016,S2411,All civilian workers,Total,016,Health diagnosing and treating practitioners and other technical occupations,Detail,True
S2411_C01_017,S2411,All civilian workers,Total,017,Health technologists and technicians,Detail,True
S2411_C01_018,S2411,All civilian workers,Total,018,Service occupations,Subtotal,True
S2411_C01_019,S2411,All civilian workers,Total,019,Healthcare support occupations,Subtotal,True
S2411_C01_020,S2411,All civilian workers,Total,020,Protective service occupations,Subtotal,True
S2411_C01_021,S2411,All civilian workers,Total,021,"Firefighting and prevention, and other protective service workers including supervisors",Detail,True
S2411_C01_022,S2411,All civilian workers,Total,022,Law enforcement workers including supervisors,Detail,True
S2411_C01_023,S2411,All civilian workers,Total,023,Food preparation and serving related occupations,Subtotal,True
S2411_C01_024,S2411,All civilian workers,Total,024,Building and grounds cleaning and maintenance occupations,Subtotal,True
S2411_C01_025,S2411,All civilian workers,Total,025,Personal care and service occupations,Subtotal,True
S2411_C01_026,S2411,All civilian workers,Total,026,Sales and office occupations,Subtotal,True
S2411_C01_027,S2411,All civilian workers,Total,027,Sales and related occupations,Subtotal,True
S2411_C01_028,S2411,All civilian workers,Total,028,Office and administrative support occupations,Subtotal,True
S2411_C01_029,S2411,All civilian workers,Total,029,"Natural resources, construction, and maintenance occupations",Subtotal,True
S2411_C01_030,S2411,All civilian workers,Total,030,"Farming, fishing, and forestry occupations",Subtotal,True
S2411_C01_031,S2411,All civilian workers,Total,031,Construction and extraction occupations,Subtotal,True
S2411_C01_032,S2411,All civilian workers,Total,032,"Installation, maintenance, and repair occupations",Subtotal,True
S2411_C01_033,S2411,All civilian workers,Total,033,"Production, transportation, and material moving occupations",Subtotal,True
