geography_level,geoid,NAME,state,county,year,var_base,estimate,moe,label
county,55001,"Adams County, Wisconsin",55,001,2024,B01001B_002,409.0,85.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001B_026,0.0,18.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001C_002,92.0,38.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001C_026,2.0,3.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001D_002,78.0,23.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001D_026,19.0,23.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001E_002,0.0,18.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001E_026,0.0,18.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001F_002,143.0,65.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001F_026,4.0,7.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001G_002,819.0,129.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001G_026,56.0,24.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001H_002,9748.0,71.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001H_026,744.0,12.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001I_002,602.0,19.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001I_026,23.0,16.0,Estimate!!Total:!!Female:!!35 to 44 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001_001,21123.0,-555555555.0,Estimate!!Total:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001_002,11493.0,42.0,Estimate!!Total:!!Male:
county,55001,"Adams County, Wisconsin",55,001,2024,B01001_003,343.0,25.0,Estimate!!Total:!!Male:!!Under 5 years
county,55001,"Adams County, Wisconsin",55,001,2024,B01001_004,375.0,63.0,Estimate!!Total:!!Male:!!5 to 9 years
